gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap,gap.1,gap.2,gap.3,gap.4,gap.5,gap.6,gap.7
7.0,4.0,2.0,18.0,2.0,9.0,25.0,24.0,4.0,5.0,3.0,10.0,2.0,10,13.0,2.0,7.0,4.0,2.0,18.0,2.0,9.0,25.0,24.0
6.0,5.0,14.0,3.0,15.0,1.0,4.0,3.0,11.0,4.0,15.0,2.0,13.0,8,5.0,11.0,6.0,5.0,14.0,3.0,15.0,1.0,4.0,3.0
4.0,13.0,9.0,21.0,2.0,7.0,4.0,31.0,24.0,35.0,1.0,15.0,1.0,6,11.0,3.0,4.0,13.0,9.0,21.0,2.0,7.0,4.0,31.0
1.0,2.0,39.0,9.0,16.0,19.0,8.0,1.0,4.0,3.0,4.0,3.0,33.0,3,19.0,19.0,1.0,2.0,39.0,9.0,16.0,19.0,8.0,1.0
28.0,6.0,12.0,28.0,11.0,14.0,4.0,10.0,1.0,4.0,1.0,22.0,9.0,7,3.0,1.0,28.0,6.0,12.0,28.0,11.0,14.0,4.0,10.0
2.0,3.0,1.0,4.0,9.0,9.0,5.0,6.0,5.0,1.0,19.0,17.0,12.0,3,2.0,1.0,2.0,3.0,1.0,4.0,9.0,9.0,5.0,6.0
11.0,4.0,11.0,18.0,2.0,7.0,2.0,11.0,3.0,35.0,9.0,5.0,3.0,2,19.0,5.0,11.0,4.0,11.0,18.0,2.0,7.0,2.0,11.0
7.0,3.0,8.0,6.0,23.0,24.0,5.0,19.0,6.0,1.0,10.0,3.0,2.0,12,28.0,2.0,7.0,3.0,8.0,6.0,23.0,24.0,5.0,19.0
1.0,26.0,6.0,6.0,22.0,2.0,2.0,2.0,7.0,17.0,5.0,5.0,1.0,8,5.0,3.0,1.0,26.0,6.0,6.0,22.0,2.0,2.0,2.0
1.0,10.0,27.0,7.0,4.0,11.0,4.0,13.0,4.0,8.0,11.0,2.0,8.0,2,7.0,27.0,1.0,10.0,27.0,7.0,4.0,11.0,4.0,13.0
20.0,7.0,9.0,3.0,3.0,6.0,6.0,7.0,15.0,17.0,3.0,19.0,1.0,12,13.0,10.0,20.0,7.0,9.0,3.0,3.0,6.0,6.0,7.0
12.0,6.0,7.0,16.0,3.0,1.0,17.0,8.0,3.0,7.0,3.0,10.0,19.0,2,14.0,1.0,12.0,6.0,7.0,16.0,3.0,1.0,17.0,8.0
7.0,7.0,2.0,1.0,23.0,1.0,8.0,46.0,11.0,1.0,,7.0,12.0,22,8.0,4.0,7.0,7.0,2.0,1.0,23.0,1.0,8.0,46.0
5.0,5.0,12.0,4.0,1.0,27.0,17.0,,10.0,3.0,,6.0,1.0,1,14.0,20.0,5.0,5.0,12.0,4.0,1.0,27.0,17.0,
5.0,4.0,1.0,9.0,5.0,17.0,17.0,,1.0,21.0,,4.0,1.0,10,12.0,5.0,5.0,4.0,1.0,9.0,5.0,17.0,17.0,
12.0,1.0,1.0,20.0,24.0,5.0,14.0,,1.0,4.0,,44.0,3.0,9,22.0,20.0,12.0,1.0,1.0,20.0,24.0,5.0,14.0,
6.0,5.0,9.0,16.0,7.0,1.0,7.0,,3.0,8.0,,22.0,4.0,13,5.0,1.0,6.0,5.0,9.0,16.0,7.0,1.0,7.0,
4.0,1.0,18.0,3.0,2.0,11.0,23.0,,3.0,19.0,,3.0,5.0,5,3.0,2.0,4.0,1.0,18.0,3.0,2.0,11.0,23.0,
15.0,4.0,11.0,9.0,11.0,,,,14.0,18.0,,3.0,1.0,21,1.0,10.0,15.0,4.0,11.0,9.0,11.0,,,
18.0,2.0,,,17.0,,,,2.0,7.0,,33.0,6.0,3,3.0,2.0,18.0,2.0,,,17.0,,,
3.0,3.0,,,4.0,,,,8.0,2.0,,,1.0,1,2.0,5.0,3.0,3.0,,,4.0,,,
15.0,9.0,,,10.0,,,,24.0,4.0,,,26.0,10,7.0,9.0,15.0,9.0,,,10.0,,,
